[23Apr2025 16:58:00.071] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--gameDir, ., --launchTarget, fmlserver, --fml.forgeVersion, 36.2.42, --fml.mcpVersion, 20210115.111550, --fml.mcVersion, 1.16.5, --fml.forgeGroup, net.minecraftforge, nogui]
[23Apr2025 16:58:00.075] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 8.1.3+8.1.3+main-8.1.x.c94d18ec starting: java version 11.0.26 by Ubuntu
[23Apr2025 16:58:00.351] [main/INFO] [net.minecraftforge.fml.loading.FixSSL/CORE]: Added Lets Encrypt root certificates as additional trust
[23Apr2025 16:58:00.413] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.4 Source=file:/workspaces/seriusly/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.4/mixin-0.8.4.jar Service=ModLauncher Env=SERVER
[23Apr2025 16:58:00.942] [main/INFO] [STDERR/]: [jdk.nashorn.api.scripting.NashornScriptEngine:<init>:143]: Warning: Nashorn engine is planned to be removed from a future JDK release
[23Apr2025 16:58:01.036] [main/INFO] [STDERR/]: [jdk.nashorn.api.scripting.NashornScriptEngine:<init>:143]: Warning: Nashorn engine is planned to be removed from a future JDK release
[23Apr2025 16:58:01.044] [main/INFO] [STDERR/]: [jdk.nashorn.api.scripting.NashornScriptEngine:<init>:143]: Warning: Nashorn engine is planned to be removed from a future JDK release
[23Apr2025 16:58:01.050] [main/INFO] [STDERR/]: [jdk.nashorn.api.scripting.NashornScriptEngine:<init>:143]: Warning: Nashorn engine is planned to be removed from a future JDK release
[23Apr2025 16:58:01.056] [main/INFO] [STDERR/]: [jdk.nashorn.api.scripting.NashornScriptEngine:<init>:143]: Warning: Nashorn engine is planned to be removed from a future JDK release
[23Apr2025 16:58:02.572] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'fmlserver' with arguments [--gameDir, ., nogui]
[23Apr2025 16:58:10.021] [modloading-worker-0/INFO] [Dungeon Crawl/]: Here we go! Launching Dungeon Crawl 2.3.12...
[23Apr2025 16:58:10.193] [modloading-worker-2/INFO] [me.treyruffy.betterf3.BetterF3Forge/]: [BetterF3] Starting...
[23Apr2025 16:58:10.193] [modloading-worker-2/WARN] [me.treyruffy.betterf3.BetterF3Forge/]: [BetterF3] Not supported on dedicated server!
[23Apr2025 16:58:10.253] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Forge mod loading, version 36.2.42, for MC 1.16.5 with MCP 20210115.111550
[23Apr2025 16:58:10.256] [modloading-worker-0/INFO] [net.minecraftforge.common.MinecraftForge/FORGE]: MinecraftForge v36.2.42 Initialized
[23Apr2025 16:58:10.311] [modloading-worker-2/INFO] [expandability/]: ExpandAbility here, who dis?
[23Apr2025 16:58:14.848] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedDepositUpgrade.filterSlots was corrected from null to its default, 16. 
[23Apr2025 16:58:14.851] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedDepositUpgrade.slotsInRow was corrected from null to its default, 4. 
[23Apr2025 16:58:14.855] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.feedingUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.856] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.feedingUpgrade.filterSlots was corrected from null to its default, 9. 
[23Apr2025 16:58:14.858] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.feedingUpgrade.slotsInRow was corrected from null to its default, 3. 
[23Apr2025 16:58:14.859] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedFeedingUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.859] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedFeedingUpgrade.filterSlots was corrected from null to its default, 16. 
[23Apr2025 16:58:14.859] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedFeedingUpgrade.slotsInRow was corrected from null to its default, 4. 
[23Apr2025 16:58:14.860] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.filterUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.860] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.filterUpgrade.filterSlots was corrected from null to its default, 9. 
[23Apr2025 16:58:14.861] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.filterUpgrade.slotsInRow was corrected from null to its default, 3. 
[23Apr2025 16:58:14.861] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedFilterUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.862] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedFilterUpgrade.filterSlots was corrected from null to its default, 16. 
[23Apr2025 16:58:14.862] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedFilterUpgrade.slotsInRow was corrected from null to its default, 4. 
[23Apr2025 16:58:14.863] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.magnetUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.863] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.magnetUpgrade.filterSlots was corrected from null to its default, 9. 
[23Apr2025 16:58:14.863] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.magnetUpgrade.slotsInRow was corrected from null to its default, 3. 
[23Apr2025 16:58:14.864] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.magnetUpgrade.magnetRange was corrected from null to its default, 3. 
[23Apr2025 16:58:14.864] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedMagnetUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.864] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedMagnetUpgrade.filterSlots was corrected from null to its default, 16. 
[23Apr2025 16:58:14.865] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedMagnetUpgrade.slotsInRow was corrected from null to its default, 4. 
[23Apr2025 16:58:14.866] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedMagnetUpgrade.magnetRange was corrected from null to its default, 5. 
[23Apr2025 16:58:14.870] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.pickupUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.870] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.pickupUpgrade.filterSlots was corrected from null to its default, 9. 
[23Apr2025 16:58:14.871] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.pickupUpgrade.slotsInRow was corrected from null to its default, 3. 
[23Apr2025 16:58:14.871] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedPickupUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.871] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedPickupUpgrade.filterSlots was corrected from null to its default, 16. 
[23Apr2025 16:58:14.872] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedPickupUpgrade.slotsInRow was corrected from null to its default, 4. 
[23Apr2025 16:58:14.873] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.refillUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.874] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.refillUpgrade.filterSlots was corrected from null to its default, 6. 
[23Apr2025 16:58:14.875] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.refillUpgrade.slotsInRow was corrected from null to its default, 3. 
[23Apr2025 16:58:14.875] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.restockUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.875] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.restockUpgrade.filterSlots was corrected from null to its default, 9. 
[23Apr2025 16:58:14.876] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.restockUpgrade.slotsInRow was corrected from null to its default, 3. 
[23Apr2025 16:58:14.876] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedRestockUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.876] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedRestockUpgrade.filterSlots was corrected from null to its default, 16. 
[23Apr2025 16:58:14.876] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedRestockUpgrade.slotsInRow was corrected from null to its default, 4. 
[23Apr2025 16:58:14.877] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.voidUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.877] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.voidUpgrade.filterSlots was corrected from null to its default, 9. 
[23Apr2025 16:58:14.877] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.voidUpgrade.slotsInRow was corrected from null to its default, 3. 
[23Apr2025 16:58:14.877] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedVoidUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.877] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedVoidUpgrade.filterSlots was corrected from null to its default, 16. 
[23Apr2025 16:58:14.878] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedVoidUpgrade.slotsInRow was corrected from null to its default, 4. 
[23Apr2025 16:58:14.880] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stackUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.886] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stackUpgrade.nonStackableItems was corrected from null to its default, []. 
[23Apr2025 16:58:14.887] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.smeltingUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.887] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.smeltingUpgrade.smeltingSpeedMultiplier was corrected from null to its default, 1.0. 
[23Apr2025 16:58:14.887] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.smeltingUpgrade.fuelEfficiencyMultiplier was corrected from null to its default, 1.0. 
[23Apr2025 16:58:14.893] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.smokingUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.895] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.smokingUpgrade.smeltingSpeedMultiplier was corrected from null to its default, 1.0. 
[23Apr2025 16:58:14.896] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.smokingUpgrade.fuelEfficiencyMultiplier was corrected from null to its default, 1.0. 
[23Apr2025 16:58:14.896] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.blastingUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.896] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.blastingUpgrade.smeltingSpeedMultiplier was corrected from null to its default, 1.0. 
[23Apr2025 16:58:14.898] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.blastingUpgrade.fuelEfficiencyMultiplier was corrected from null to its default, 1.0. 
[23Apr2025 16:58:14.903] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoSmeltingUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.905] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoSmeltingUpgrade.smeltingSpeedMultiplier was corrected from null to its default, 1.0. 
[23Apr2025 16:58:14.908] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoSmeltingUpgrade.fuelEfficiencyMultiplier was corrected from null to its default, 1.0. 
[23Apr2025 16:58:14.909] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoSmeltingUpgrade.inputFilterSlots was corrected from null to its default, 8. 
[23Apr2025 16:58:14.909] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoSmeltingUpgrade.inputFilterSlotsInRow was corrected from null to its default, 4. 
[23Apr2025 16:58:14.910] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoSmeltingUpgrade.fuelFilterSlots was corrected from null to its default, 4. 
[23Apr2025 16:58:14.910] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoSmeltingUpgrade.fuelFilterSlotsInRow was corrected from null to its default, 4. 
[23Apr2025 16:58:14.910] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoSmokingUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.911] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoSmokingUpgrade.smeltingSpeedMultiplier was corrected from null to its default, 1.0. 
[23Apr2025 16:58:14.911] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoSmokingUpgrade.fuelEfficiencyMultiplier was corrected from null to its default, 1.0. 
[23Apr2025 16:58:14.911] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoSmokingUpgrade.inputFilterSlots was corrected from null to its default, 8. 
[23Apr2025 16:58:14.912] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoSmokingUpgrade.inputFilterSlotsInRow was corrected from null to its default, 4. 
[23Apr2025 16:58:14.912] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoSmokingUpgrade.fuelFilterSlots was corrected from null to its default, 4. 
[23Apr2025 16:58:14.912] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoSmokingUpgrade.fuelFilterSlotsInRow was corrected from null to its default, 4. 
[23Apr2025 16:58:14.913] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoBlastingUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.913] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoBlastingUpgrade.smeltingSpeedMultiplier was corrected from null to its default, 1.0. 
[23Apr2025 16:58:14.914] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoBlastingUpgrade.fuelEfficiencyMultiplier was corrected from null to its default, 1.0. 
[23Apr2025 16:58:14.919] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoBlastingUpgrade.inputFilterSlots was corrected from null to its default, 8. 
[23Apr2025 16:58:14.919] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoBlastingUpgrade.inputFilterSlotsInRow was corrected from null to its default, 4. 
[23Apr2025 16:58:14.920] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoBlastingUpgrade.fuelFilterSlots was corrected from null to its default, 4. 
[23Apr2025 16:58:14.921] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoBlastingUpgrade.fuelFilterSlotsInRow was corrected from null to its default, 4. 
[23Apr2025 16:58:14.923] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.inceptionUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.923] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.inceptionUpgrade.upgradesUseInventoriesOfBackpacksInBackpack was corrected from null to its default, true. 
[23Apr2025 16:58:14.923] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.inceptionUpgrade.upgradesInContainedBackpacksAreFunctional was corrected from null to its default, true. 
[23Apr2025 16:58:14.923] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.toolSwapperUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.924] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.toolSwapperUpgrade.slotsInRow was corrected from null to its default, 4. 
[23Apr2025 16:58:14.924] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.tankUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.924] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.tankUpgrade.capacityPerSlotRow was corrected from null to its default, 4000. 
[23Apr2025 16:58:14.924] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.tankUpgrade.stackMultiplierRatio was corrected from null to its default, 1.0. 
[23Apr2025 16:58:14.925] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.tankUpgrade.autoFillDrainContainerCooldown was corrected from null to its default, 20. 
[23Apr2025 16:58:14.928] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.tankUpgrade.maxInputOutput was corrected from null to its default, 20. 
[23Apr2025 16:58:14.928] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.tankUpgrade.energyPerSlotRow was corrected from null to its default, 10000. 
[23Apr2025 16:58:14.929] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.pumpUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.929] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.pumpUpgrade.filterSlots was corrected from null to its default, 4. 
[23Apr2025 16:58:14.929] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.pumpUpgrade.maxInputOutput was corrected from null to its default, 20. 
